fdcId,database,subCategory
321358,foundation,Legumes and Legume Products
321360,foundation,Vegetables and Vegetable Products
321611,foundation,Vegetables and Vegetable Products
323121,foundation,Sausages and Luncheon Meats
323294,foundation,Nut and Seed Products
323505,foundation,Vegetables and Vegetable Products
323604,foundation,Dairy and Egg Products
323697,foundation,Dairy and Egg Products
323793,foundation,Dairy and Egg Products
324317,foundation,Vegetables and Vegetable Products
324653,foundation,Vegetables and Vegetable Products
325036,foundation,Dairy and Egg Products
325198,foundation,Dairy and Egg Products
325287,foundation,Fruits and Fruit Juices
325430,foundation,Fruits and Fruit Juices
325524,foundation,Nut and Seed Products
325871,foundation,Baked Products
326196,foundation,Vegetables and Vegetable Products
326698,foundation,Spices and Herbs
327046,foundation,Fruits and Fruit Juices
327357,foundation,Fruits and Fruit Juices
328637,foundation,Dairy and Egg Products
328841,foundation,Dairy and Egg Products
329370,foundation,Dairy and Egg Products
329490,foundation,Dairy and Egg Products
329596,foundation,Dairy and Egg Products
329716,foundation,Dairy and Egg Products
330137,foundation,Dairy and Egg Products
330415,foundation,Dairy and Egg Products
330458,foundation,Fats and Oils
331897,foundation,Poultry Products
331960,foundation,Poultry Products
332282,foundation,"Soups, Sauces, and Gravies"
332397,foundation,Sausages and Luncheon Meats
332791,foundation,Fruits and Fruit Juices
333008,foundation,Baked Products
333281,foundation,Vegetables and Vegetable Products
333374,foundation,Finfish and Shellfish Products
333476,foundation,Finfish and Shellfish Products
334194,foundation,Finfish and Shellfish Products
334536,foundation,Restaurant Foods
334628,foundation,Restaurant Foods
334720,foundation,Restaurant Foods
335240,foundation,Baked Products
746758,foundation,Beef Products
746759,foundation,Beef Products
746760,foundation,Beef Products
746761,foundation,Beef Products
746762,foundation,Beef Products
746763,foundation,Beef Products
746764,foundation,Vegetables and Vegetable Products
746765,foundation,Dairy and Egg Products
746766,foundation,Dairy and Egg Products
746767,foundation,Dairy and Egg Products
746768,foundation,Fruits and Fruit Juices
746769,foundation,Vegetables and Vegetable Products
746770,foundation,Fruits and Fruit Juices
746771,foundation,Fruits and Fruit Juices
746772,foundation,Dairy and Egg Products
746773,foundation,Fruits and Fruit Juices
746774,foundation,Restaurant Foods
746775,foundation,Spices and Herbs
746776,foundation,Dairy and Egg Products
746777,foundation,"Soups, Sauces, and Gravies"
746778,foundation,Dairy and Egg Products
746779,foundation,Sausages and Luncheon Meats
746780,foundation,Sausages and Luncheon Meats
746781,foundation,Sausages and Luncheon Meats
746782,foundation,Dairy and Egg Products
746783,foundation,Sausages and Luncheon Meats
746784,foundation,Sweets
746785,foundation,Poultry Products
746952,foundation,Pork Products
747429,foundation,Dairy and Egg Products
747430,foundation,Legumes and Legume Products
747431,foundation,Legumes and Legume Products
747432,foundation,Legumes and Legume Products
747433,foundation,Legumes and Legume Products
747434,foundation,Legumes and Legume Products
747435,foundation,Legumes and Legume Products
747436,foundation,Legumes and Legume Products
747437,foundation,Legumes and Legume Products
747438,foundation,Legumes and Legume Products
747439,foundation,Legumes and Legume Products
747440,foundation,Legumes and Legume Products
747441,foundation,Legumes and Legume Products
747442,foundation,Legumes and Legume Products
747443,foundation,Legumes and Legume Products
747444,foundation,Legumes and Legume Products
747445,foundation,Legumes and Legume Products
747446,foundation,Legumes and Legume Products
747447,foundation,Vegetables and Vegetable Products
747693,foundation,Vegetables and Vegetable Products
747997,foundation,Dairy and Egg Products
748236,foundation,Dairy and Egg Products
748278,foundation,Fats and Oils
748323,foundation,Fats and Oils
748366,foundation,Fats and Oils
748608,foundation,Fats and Oils
748967,foundation,Dairy and Egg Products
749420,foundation,Pork Products
789828,foundation,Dairy and Egg Products
789890,foundation,Cereal Grains and Pasta
789951,foundation,Cereal Grains and Pasta
790018,foundation,Cereal Grains and Pasta
790085,foundation,Cereal Grains and Pasta
790146,foundation,Cereal Grains and Pasta
790214,foundation,Cereal Grains and Pasta
790276,foundation,Cereal Grains and Pasta
790508,foundation,Dairy and Egg Products
790577,foundation,Vegetables and Vegetable Products
790646,foundation,Vegetables and Vegetable Products
1104647,foundation,Vegetables and Vegetable Products
1104705,foundation,Legumes and Legume Products
1104766,foundation,Legumes and Legume Products
1104812,foundation,Cereal Grains and Pasta
1104867,foundation,Cereal Grains and Pasta
1104913,foundation,Cereal Grains and Pasta
1104962,foundation,Vegetables and Vegetable Products
1105073,foundation,Fruits and Fruit Juices
1105314,foundation,Fruits and Fruit Juices
1750339,foundation,Fruits and Fruit Juices
1750340,foundation,Fruits and Fruit Juices
1750341,foundation,Fruits and Fruit Juices
1750342,foundation,Fruits and Fruit Juices
1750343,foundation,Fruits and Fruit Juices
1750348,foundation,Fats and Oils
1750349,foundation,Fats and Oils
1750350,foundation,Fats and Oils
1750351,foundation,Fats and Oils
1999626,foundation,Vegetables and Vegetable Products
1999627,foundation,Vegetables and Vegetable Products
1999628,foundation,Vegetables and Vegetable Products
1999629,foundation,Vegetables and Vegetable Products
1999630,foundation,Legumes and Legume Products
1999631,foundation,Beverages
1999632,foundation,Vegetables and Vegetable Products
1999633,foundation,Vegetables and Vegetable Products
1999634,foundation,Vegetables and Vegetable Products
2003586,foundation,Cereal Grains and Pasta
2003587,foundation,Cereal Grains and Pasta
2003588,foundation,Cereal Grains and Pasta
2003589,foundation,Cereal Grains and Pasta
2003590,foundation,Fruits and Fruit Juices
2003591,foundation,Fruits and Fruit Juices
2003592,foundation,Fruits and Fruit Juices
2003593,foundation,Fruits and Fruit Juices
2003594,foundation,Fruits and Fruit Juices
2003595,foundation,Fruits and Fruit Juices
2003596,foundation,Vegetables and Vegetable Products
2003597,foundation,Fruits and Fruit Juices
2003598,foundation,Vegetables and Vegetable Products
2003599,foundation,Vegetables and Vegetable Products
2003600,foundation,Vegetables and Vegetable Products
2003601,foundation,Vegetables and Vegetable Products
2003602,foundation,Vegetables and Vegetable Products
