fdcId,database,subCategory
167512,sr_legacy,Baked Products
167513,sr_legacy,Baked Products
167514,sr_legacy,Baked Products
167515,sr_legacy,Baked Products
167516,sr_legacy,Baked Products
167517,sr_legacy,Baked Products
167518,sr_legacy,Baked Products
167519,sr_legacy,Baked Products
167520,sr_legacy,Baked Products
167521,sr_legacy,Baked Products
167522,sr_legacy,Baked Products
167523,sr_legacy,Baked Products
167524,sr_legacy,Baked Products
167525,sr_legacy,Baked Products
167526,sr_legacy,Baked Products
167527,sr_legacy,Baked Products
167528,sr_legacy,Baked Products
167529,sr_legacy,Baked Products
167530,sr_legacy,Baked Products
167531,sr_legacy,Baked Products
167532,sr_legacy,Baked Products
167533,sr_legacy,Baked Products
167534,sr_legacy,Baked Products
167535,sr_legacy,Baked Products
167536,sr_legacy,Snacks
167537,sr_legacy,Snacks
167538,sr_legacy,Snacks
167539,sr_legacy,Snacks
167540,sr_legacy,Sweets
167541,sr_legacy,Sweets
167542,sr_legacy,Snacks
167543,sr_legacy,Snacks
167544,sr_legacy,Snacks
167545,sr_legacy,Snacks
167546,sr_legacy,Sweets
167547,sr_legacy,Snacks
167548,sr_legacy,Snacks
167549,sr_legacy,Snacks
167550,sr_legacy,Snacks
167551,sr_legacy,Snacks
167552,sr_legacy,Snacks
167553,sr_legacy,Snacks
167554,sr_legacy,Snacks
167555,sr_legacy,Snacks
167556,sr_legacy,Snacks
167557,sr_legacy,Snacks
167558,sr_legacy,Snacks
167559,sr_legacy,Snacks
167560,sr_legacy,Snacks
167561,sr_legacy,Snacks
167562,sr_legacy,Sweets
167563,sr_legacy,Sweets
167564,sr_legacy,Sweets
167565,sr_legacy,Sweets
167566,sr_legacy,Sweets
167567,sr_legacy,Sweets
167568,sr_legacy,Sweets
167569,sr_legacy,Sweets
167570,sr_legacy,Sweets
167571,sr_legacy,Sweets
167572,sr_legacy,Sweets
167573,sr_legacy,Sweets
167574,sr_legacy,Sweets
167575,sr_legacy,Sweets
167576,sr_legacy,Sweets
167577,sr_legacy,Sweets
167578,sr_legacy,Sweets
167579,sr_legacy,Sweets
167580,sr_legacy,Sweets
167581,sr_legacy,Sweets
167582,sr_legacy,Sweets
167583,sr_legacy,Sweets
167584,sr_legacy,Sweets
167585,sr_legacy,Sweets
167586,sr_legacy,Sweets
167587,sr_legacy,Sweets
167588,sr_legacy,Sweets
167589,sr_legacy,Sweets
167590,sr_legacy,Baked Products
167591,sr_legacy,Baked Products
167592,sr_legacy,Baked Products
167593,sr_legacy,Baked Products
167594,sr_legacy,Baked Products
167595,sr_legacy,Baked Products
167596,sr_legacy,Baked Products
167597,sr_legacy,Baked Products
167598,sr_legacy,Baked Products
167599,sr_legacy,Baked Products
167600,sr_legacy,Baked Products
167601,sr_legacy,Baked Products
167602,sr_legacy,Vegetables and Vegetable Products
167603,sr_legacy,Vegetables and Vegetable Products
167604,sr_legacy,Vegetables and Vegetable Products
167605,sr_legacy,Vegetables and Vegetable Products
167606,sr_legacy,Vegetables and Vegetable Products
167607,sr_legacy,American Indian/Alaska Native Foods
167608,sr_legacy,American Indian/Alaska Native Foods
167609,sr_legacy,American Indian/Alaska Native Foods
167610,sr_legacy,American Indian/Alaska Native Foods
167611,sr_legacy,American Indian/Alaska Native Foods
167612,sr_legacy,American Indian/Alaska Native Foods
167613,sr_legacy,American Indian/Alaska Native Foods
167614,sr_legacy,American Indian/Alaska Native Foods
167615,sr_legacy,American Indian/Alaska Native Foods
167616,sr_legacy,American Indian/Alaska Native Foods
167617,sr_legacy,American Indian/Alaska Native Foods
167618,sr_legacy,American Indian/Alaska Native Foods
167619,sr_legacy,American Indian/Alaska Native Foods
167620,sr_legacy,American Indian/Alaska Native Foods
167621,sr_legacy,American Indian/Alaska Native Foods
167622,sr_legacy,American Indian/Alaska Native Foods
167623,sr_legacy,American Indian/Alaska Native Foods
167624,sr_legacy,American Indian/Alaska Native Foods
167625,sr_legacy,American Indian/Alaska Native Foods
167626,sr_legacy,American Indian/Alaska Native Foods
167627,sr_legacy,American Indian/Alaska Native Foods
167628,sr_legacy,American Indian/Alaska Native Foods
167629,sr_legacy,American Indian/Alaska Native Foods
167630,sr_legacy,American Indian/Alaska Native Foods
167631,sr_legacy,American Indian/Alaska Native Foods
167632,sr_legacy,American Indian/Alaska Native Foods
167633,sr_legacy,American Indian/Alaska Native Foods
167634,sr_legacy,American Indian/Alaska Native Foods
167635,sr_legacy,American Indian/Alaska Native Foods
167636,sr_legacy,American Indian/Alaska Native Foods
167637,sr_legacy,American Indian/Alaska Native Foods
167638,sr_legacy,American Indian/Alaska Native Foods
167639,sr_legacy,American Indian/Alaska Native Foods
167640,sr_legacy,American Indian/Alaska Native Foods
167641,sr_legacy,American Indian/Alaska Native Foods
167642,sr_legacy,American Indian/Alaska Native Foods
167643,sr_legacy,American Indian/Alaska Native Foods
167644,sr_legacy,American Indian/Alaska Native Foods
167645,sr_legacy,American Indian/Alaska Native Foods
167646,sr_legacy,American Indian/Alaska Native Foods
167647,sr_legacy,American Indian/Alaska Native Foods
167648,sr_legacy,American Indian/Alaska Native Foods
167649,sr_legacy,American Indian/Alaska Native Foods
167650,sr_legacy,American Indian/Alaska Native Foods
167651,sr_legacy,American Indian/Alaska Native Foods
167652,sr_legacy,American Indian/Alaska Native Foods
167653,sr_legacy,American Indian/Alaska Native Foods
167654,sr_legacy,American Indian/Alaska Native Foods
167655,sr_legacy,American Indian/Alaska Native Foods
167656,sr_legacy,American Indian/Alaska Native Foods
167657,sr_legacy,Restaurant Foods
167658,sr_legacy,Restaurant Foods
167659,sr_legacy,Restaurant Foods
167660,sr_legacy,Restaurant Foods
167661,sr_legacy,Restaurant Foods
167662,sr_legacy,Restaurant Foods
167663,sr_legacy,Restaurant Foods
167664,sr_legacy,Restaurant Foods
167665,sr_legacy,Restaurant Foods
167666,sr_legacy,Restaurant Foods
167667,sr_legacy,Restaurant Foods
167668,sr_legacy,Restaurant Foods
167669,sr_legacy,Restaurant Foods
167670,sr_legacy,Restaurant Foods
167671,sr_legacy,Restaurant Foods
167672,sr_legacy,Restaurant Foods
167673,sr_legacy,Restaurant Foods
167674,sr_legacy,Restaurant Foods
167675,sr_legacy,Restaurant Foods
167676,sr_legacy,Restaurant Foods
167677,sr_legacy,Restaurant Foods
