fdcId,database,subCategory
2705383,survey_fndds,Human milk
2705384,survey_fndds,"Milk, reduced fat"
2705385,survey_fndds,"Milk, whole"
2705386,survey_fndds,"Milk, reduced fat"
2705387,survey_fndds,"Milk, lowfat"
2705388,survey_fndds,"Milk, nonfat"
2705389,survey_fndds,"Milk, lowfat"
2705390,survey_fndds,"Milk, nonfat"
2705391,survey_fndds,"Milk, reduced fat"
2705392,survey_fndds,"Milk, whole"
2705393,survey_fndds,"Milk, whole"
2705394,survey_fndds,"Milk, lowfat"
2705395,survey_fndds,"Milk, whole"
2705396,survey_fndds,"Milk, nonfat"
2705397,survey_fndds,"Milk, whole"
2705398,survey_fndds,"Milk, whole"
2705399,survey_fndds,"Milk, whole"
2705400,survey_fndds,"Milk, reduced fat"
2705401,survey_fndds,"Milk, nonfat"
2705402,survey_fndds,"Flavored milk, whole"
2705403,survey_fndds,Plant-based milk
2705404,survey_fndds,Plant-based milk
2705405,survey_fndds,Plant-based milk
2705406,survey_fndds,Plant-based milk
2705407,survey_fndds,Plant-based milk
2705408,survey_fndds,Plant-based milk
2705409,survey_fndds,Plant-based milk
2705410,survey_fndds,Plant-based milk
2705411,survey_fndds,Plant-based milk
2705412,survey_fndds,Plant-based milk
2705413,survey_fndds,Plant-based milk
2705414,survey_fndds,"Yogurt, regular"
2705415,survey_fndds,"Yogurt, Greek"
2705416,survey_fndds,"Yogurt, regular"
2705417,survey_fndds,"Yogurt, regular"
2705418,survey_fndds,"Yogurt, regular"
2705419,survey_fndds,"Yogurt, regular"
2705420,survey_fndds,"Yogurt, regular"
2705421,survey_fndds,"Yogurt, Greek"
2705422,survey_fndds,"Yogurt, Greek"
2705423,survey_fndds,"Yogurt, Greek"
2705424,survey_fndds,"Yogurt, Greek"
2705425,survey_fndds,"Yogurt, regular"
2705426,survey_fndds,"Yogurt, regular"
2705427,survey_fndds,"Yogurt, regular"
2705428,survey_fndds,"Yogurt, regular"
2705429,survey_fndds,"Yogurt, Greek"
2705430,survey_fndds,"Yogurt, Greek"
2705431,survey_fndds,"Yogurt, Greek"
2705432,survey_fndds,"Yogurt, Greek"
2705433,survey_fndds,"Yogurt, regular"
2705434,survey_fndds,"Yogurt, regular"
2705435,survey_fndds,"Yogurt, regular"
2705436,survey_fndds,"Yogurt, regular"
2705437,survey_fndds,"Yogurt, Greek"
2705438,survey_fndds,"Yogurt, Greek"
2705439,survey_fndds,"Yogurt, Greek"
2705440,survey_fndds,"Yogurt, Greek"
2705441,survey_fndds,"Yogurt, Greek"
2705442,survey_fndds,"Yogurt, regular"
2705443,survey_fndds,"Yogurt, regular"
2705444,survey_fndds,"Dips, gravies, other sauces"
2705445,survey_fndds,"Dips, gravies, other sauces"
2705446,survey_fndds,"Dips, gravies, other sauces"
2705447,survey_fndds,"Dips, gravies, other sauces"
2705448,survey_fndds,"Dips, gravies, other sauces"
2705449,survey_fndds,"Dips, gravies, other sauces"
2705450,survey_fndds,"Yogurt, regular"
2705451,survey_fndds,Ice cream and frozen dairy desserts
2705452,survey_fndds,Ice cream and frozen dairy desserts
2705453,survey_fndds,Ice cream and frozen dairy desserts
2705454,survey_fndds,Ice cream and frozen dairy desserts
2705455,survey_fndds,Ice cream and frozen dairy desserts
2705456,survey_fndds,Ice cream and frozen dairy desserts
2705457,survey_fndds,Ice cream and frozen dairy desserts
2705458,survey_fndds,Ice cream and frozen dairy desserts
2705459,survey_fndds,Ice cream and frozen dairy desserts
2705460,survey_fndds,Ice cream and frozen dairy desserts
2705461,survey_fndds,Ice cream and frozen dairy desserts
2705462,survey_fndds,Ice cream and frozen dairy desserts
2705463,survey_fndds,Baby food: mixtures
2705464,survey_fndds,Baby food: yogurt
2705465,survey_fndds,Baby food: yogurt
2705466,survey_fndds,"Flavored milk, lowfat"
2705467,survey_fndds,"Flavored milk, whole"
2705468,survey_fndds,"Flavored milk, reduced fat"
2705469,survey_fndds,"Flavored milk, nonfat"
2705470,survey_fndds,"Flavored milk, lowfat"
2705471,survey_fndds,"Flavored milk, lowfat"
2705472,survey_fndds,"Flavored milk, lowfat"
2705473,survey_fndds,"Flavored milk, reduced fat"
2705474,survey_fndds,"Flavored milk, nonfat"
2705475,survey_fndds,Plant-based milk
2705476,survey_fndds,"Flavored milk, reduced fat"
2705477,survey_fndds,"Flavored milk, reduced fat"
2705478,survey_fndds,Plant-based milk
2705479,survey_fndds,"Flavored milk, whole"
2705480,survey_fndds,"Flavored milk, reduced fat"
2705481,survey_fndds,"Flavored milk, lowfat"
2705482,survey_fndds,"Flavored milk, nonfat"
2705483,survey_fndds,"Flavored milk, nonfat"
2705484,survey_fndds,"Flavored milk, reduced fat"
2705485,survey_fndds,"Flavored milk, nonfat"
2705486,survey_fndds,Plant-based milk
2705487,survey_fndds,"Flavored milk, reduced fat"
2705488,survey_fndds,"Flavored milk, nonfat"
2705489,survey_fndds,"Flavored milk, reduced fat"
2705490,survey_fndds,Plant-based milk
2705491,survey_fndds,"Flavored milk, reduced fat"
2705492,survey_fndds,"Flavored milk, nonfat"
2705493,survey_fndds,"Flavored milk, nonfat"
2705494,survey_fndds,Plant-based milk
2705495,survey_fndds,"Flavored milk, reduced fat"
2705496,survey_fndds,"Flavored milk, whole"
2705497,survey_fndds,"Flavored milk, reduced fat"
2705498,survey_fndds,"Flavored milk, lowfat"
2705499,survey_fndds,"Flavored milk, nonfat"
2705500,survey_fndds,"Flavored milk, lowfat"
2705501,survey_fndds,"Flavored milk, reduced fat"
2705502,survey_fndds,Milk shakes and other dairy drinks
2705503,survey_fndds,Milk shakes and other dairy drinks
2705504,survey_fndds,Milk shakes and other dairy drinks
2705505,survey_fndds,Milk shakes and other dairy drinks
2705506,survey_fndds,Milk shakes and other dairy drinks
2705507,survey_fndds,Milk shakes and other dairy drinks
2705508,survey_fndds,Milk shakes and other dairy drinks
2705509,survey_fndds,Milk shakes and other dairy drinks
2705510,survey_fndds,Milk shakes and other dairy drinks
2705511,survey_fndds,Milk shakes and other dairy drinks
2705512,survey_fndds,Smoothies and grain drinks
2705513,survey_fndds,Smoothies and grain drinks
2705514,survey_fndds,Smoothies and grain drinks
2705515,survey_fndds,Smoothies and grain drinks
2705516,survey_fndds,Smoothies and grain drinks
2705517,survey_fndds,Milk shakes and other dairy drinks
2705518,survey_fndds,"Formula, prepared from powder"
2705519,survey_fndds,"Formula, prepared from powder"
2705520,survey_fndds,"Formula, ready-to-feed"
2705521,survey_fndds,"Formula, prepared from powder"
2705522,survey_fndds,"Formula, ready-to-feed"
2705523,survey_fndds,"Formula, prepared from powder"
2705524,survey_fndds,"Formula, prepared from powder"
2705525,survey_fndds,"Formula, prepared from powder"
2705526,survey_fndds,"Formula, ready-to-feed"
2705527,survey_fndds,"Formula, prepared from powder"
2705528,survey_fndds,"Formula, prepared from powder"
2705529,survey_fndds,"Formula, prepared from powder"
2705530,survey_fndds,"Formula, ready-to-feed"
2705531,survey_fndds,"Formula, prepared from powder"
2705532,survey_fndds,"Formula, prepared from powder"
2705533,survey_fndds,"Formula, prepared from powder"
2705534,survey_fndds,"Formula, ready-to-feed"
2705535,survey_fndds,"Formula, prepared from powder"
2705536,survey_fndds,"Formula, prepared from powder"
2705537,survey_fndds,"Formula, prepared from powder"
2705538,survey_fndds,"Formula, ready-to-feed"
2705539,survey_fndds,"Formula, prepared from powder"
2705540,survey_fndds,"Formula, ready-to-feed"
2705541,survey_fndds,"Formula, prepared from powder"
2705542,survey_fndds,"Formula, prepared from powder"
2705543,survey_fndds,"Formula, prepared from powder"
2705544,survey_fndds,"Formula, prepared from powder"
2705545,survey_fndds,"Formula, ready-to-feed"
2705546,survey_fndds,"Formula, prepared from powder"
2705547,survey_fndds,"Formula, prepared from powder"
2705548,survey_fndds,"Formula, prepared from powder"
2705549,survey_fndds,"Formula, prepared from powder"
2705550,survey_fndds,"Formula, ready-to-feed"
2705551,survey_fndds,"Formula, prepared from powder"
2705552,survey_fndds,"Formula, prepared from powder"
2705553,survey_fndds,"Formula, prepared from powder"
2705554,survey_fndds,"Formula, prepared from powder"
2705555,survey_fndds,"Formula, prepared from powder"
2705556,survey_fndds,"Formula, prepared from powder"
2705557,survey_fndds,"Formula, ready-to-feed"
2705558,survey_fndds,"Formula, prepared from powder"
2705559,survey_fndds,"Formula, ready-to-feed"
2705560,survey_fndds,"Formula, prepared from powder"
2705561,survey_fndds,"Formula, prepared from powder"
2705562,survey_fndds,"Formula, prepared from powder"
2705563,survey_fndds,"Formula, prepared from powder"
2705564,survey_fndds,"Formula, prepared from powder"
2705565,survey_fndds,"Formula, ready-to-feed"
2705566,survey_fndds,"Formula, prepared from powder"
2705567,survey_fndds,"Formula, prepared from powder"
2705568,survey_fndds,"Formula, prepared from powder"
2705569,survey_fndds,"Formula, ready-to-feed"
2705570,survey_fndds,"Formula, prepared from powder"
2705571,survey_fndds,"Formula, prepared from powder"
2705572,survey_fndds,"Formula, prepared from powder"
2705573,survey_fndds,"Formula, ready-to-feed"
2705574,survey_fndds,"Formula, ready-to-feed"
2705575,survey_fndds,"Formula, prepared from powder"
2705576,survey_fndds,"Formula, prepared from powder"
2705577,survey_fndds,"Formula, prepared from powder"
2705578,survey_fndds,"Formula, prepared from powder"
2705579,survey_fndds,"Formula, ready-to-feed"
2705580,survey_fndds,"Formula, prepared from powder"
2705581,survey_fndds,"Formula, ready-to-feed"
2705582,survey_fndds,"Formula, prepared from powder"
2705583,survey_fndds,"Formula, prepared from powder"
2705584,survey_fndds,"Formula, prepared from powder"
2705585,survey_fndds,Not included in a food category
2705586,survey_fndds,Not included in a food category
2705587,survey_fndds,Not included in a food category
2705588,survey_fndds,Not included in a food category
2705589,survey_fndds,Not included in a food category
2705590,survey_fndds,Not included in a food category
2705591,survey_fndds,Not included in a food category
2705592,survey_fndds,Cream and cream substitutes
2705593,survey_fndds,Cream and cream substitutes
2705594,survey_fndds,Cream and cream substitutes
2705595,survey_fndds,Cream and cream substitutes
2705596,survey_fndds,Cream and cream substitutes
2705597,survey_fndds,Cream and cream substitutes
2705598,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705599,survey_fndds,Cream and cream substitutes
2705600,survey_fndds,Cream and cream substitutes
2705601,survey_fndds,Cream and cream substitutes
2705602,survey_fndds,Cream and cream substitutes
2705603,survey_fndds,Cream and cream substitutes
2705604,survey_fndds,Cream and cream substitutes
2705605,survey_fndds,Cream and cream substitutes
2705606,survey_fndds,Cream and cream substitutes
2705607,survey_fndds,Cream and cream substitutes
2705608,survey_fndds,Cream and cream substitutes
2705609,survey_fndds,Cream and cream substitutes
2705610,survey_fndds,Cream and cream substitutes
2705611,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705612,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705613,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705614,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705615,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705616,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705617,survey_fndds,"Cream cheese, sour cream, whipped cream"
2705618,survey_fndds,"Dips, gravies, other sauces"
2705619,survey_fndds,"Dips, gravies, other sauces"
2705620,survey_fndds,"Dips, gravies, other sauces"
2705621,survey_fndds,"Dips, gravies, other sauces"
2705622,survey_fndds,"Dips, gravies, other sauces"
2705623,survey_fndds,"Dips, gravies, other sauces"
2705624,survey_fndds,"Dips, gravies, other sauces"
2705625,survey_fndds,"Dips, gravies, other sauces"
2705626,survey_fndds,"Dips, gravies, other sauces"
2705627,survey_fndds,"Dips, gravies, other sauces"
2705628,survey_fndds,"Dips, gravies, other sauces"
2705629,survey_fndds,Ice cream and frozen dairy desserts
2705630,survey_fndds,Ice cream and frozen dairy desserts
2705631,survey_fndds,Ice cream and frozen dairy desserts
2705632,survey_fndds,Ice cream and frozen dairy desserts
2705633,survey_fndds,Ice cream and frozen dairy desserts
2705634,survey_fndds,Ice cream and frozen dairy desserts
2705635,survey_fndds,Ice cream and frozen dairy desserts
2705636,survey_fndds,Ice cream and frozen dairy desserts
2705637,survey_fndds,Ice cream and frozen dairy desserts
2705638,survey_fndds,Ice cream and frozen dairy desserts
2705639,survey_fndds,Ice cream and frozen dairy desserts
2705640,survey_fndds,Ice cream and frozen dairy desserts
2705641,survey_fndds,Ice cream and frozen dairy desserts
2705642,survey_fndds,Ice cream and frozen dairy desserts
2705643,survey_fndds,Ice cream and frozen dairy desserts
2705644,survey_fndds,Ice cream and frozen dairy desserts
2705645,survey_fndds,Ice cream and frozen dairy desserts
2705646,survey_fndds,Ice cream and frozen dairy desserts
2705647,survey_fndds,Ice cream and frozen dairy desserts
2705648,survey_fndds,Ice cream and frozen dairy desserts
2705649,survey_fndds,Ice cream and frozen dairy desserts
2705650,survey_fndds,Ice cream and frozen dairy desserts
2705651,survey_fndds,Ice cream and frozen dairy desserts
2705652,survey_fndds,Ice cream and frozen dairy desserts
2705653,survey_fndds,Ice cream and frozen dairy desserts
2705654,survey_fndds,Ice cream and frozen dairy desserts
2705655,survey_fndds,Ice cream and frozen dairy desserts
2705656,survey_fndds,Milk shakes and other dairy drinks
2705657,survey_fndds,Milk shakes and other dairy drinks
2705658,survey_fndds,Ice cream and frozen dairy desserts
2705659,survey_fndds,Ice cream and frozen dairy desserts
2705660,survey_fndds,Ice cream and frozen dairy desserts
2705661,survey_fndds,Ice cream and frozen dairy desserts
2705662,survey_fndds,Ice cream and frozen dairy desserts
2705663,survey_fndds,Ice cream and frozen dairy desserts
2705664,survey_fndds,Ice cream and frozen dairy desserts
2705665,survey_fndds,Ice cream and frozen dairy desserts
2705666,survey_fndds,Ice cream and frozen dairy desserts
2705667,survey_fndds,Ice cream and frozen dairy desserts
2705668,survey_fndds,Ice cream and frozen dairy desserts
2705669,survey_fndds,Ice cream and frozen dairy desserts
2705670,survey_fndds,Ice cream and frozen dairy desserts
2705671,survey_fndds,Ice cream and frozen dairy desserts
2705672,survey_fndds,Ice cream and frozen dairy desserts
2705673,survey_fndds,Ice cream and frozen dairy desserts
2705674,survey_fndds,Ice cream and frozen dairy desserts
2705675,survey_fndds,Ice cream and frozen dairy desserts
2705676,survey_fndds,Ice cream and frozen dairy desserts
2705677,survey_fndds,Ice cream and frozen dairy desserts
2705678,survey_fndds,Ice cream and frozen dairy desserts
2705679,survey_fndds,Pudding
